,image_url,link,title,manufacturer,model,generation,year,min_price,max_price,mileage,time_online,last_seen,date_listed,sold,site
78,https://photos.webuycars.co.za/photobooth/059009190/Images/0590091900.webp,,2008 BMW  3 Series 323i Auto (E90),bmw,3 series,,2008,42000,48900,230000,10 days 00:39:33.974774,2024-08-26 18:24:16.128494,2024-08-16 17:44:42.153720,True,webuycars
79,https://photos.webuycars.co.za/photobooth/05C307335/Images/05C3073350.webp,,2006 Volkswagen  Citi Chico 1.4,bmw,3 series,,2006,74900,74900,107000,9 days 18:13:26.552881,2024-08-30 08:15:46.175496,2024-08-20 14:02:19.622615,True,webuycars
80,https://photos.webuycars.co.za/photobooth/05DC07858/Images/05DC078580.webp,,2016 Suzuki  Jimny 1.3 Auto,suzuki,jimny,3rd gen - JB43,2016,230000,230000,33020,0 days 21:11:25.851870,2024-07-24 12:11:33.592550,2024-07-23 15:00:07.740680,True,webuycars
81,https://photos.webuycars.co.za/photobooth/05E603891/Images/05E6038910.webp,,2015 Toyota  Corolla 1.6 Prestige CVT,toyota,corolla,,2015,152000,152000,137000,1 days 01:16:42.528448,2024-08-13 09:40:43.681790,2024-08-12 08:24:01.153342,True,webuycars
82,https://photos.webuycars.co.za/photobooth/05FC06623/Images/05FC066230.webp,,2016 Mercedes-Benz  C Class C220d Coupe Auto,mercedes-benz,c class,,2016,324000,331900,94000,10 days 23:35:48.677408,2024-08-29 09:16:44.508859,2024-08-18 09:40:55.831451,True,webuycars
83,https://photos.webuycars.co.za/photobooth/05FC12265/Images/05FC122650.webp,,2014 Renault  Sandero 900 T Dynamique,renault,sandero,,2014,85000,85900,98003,6 days 01:21:27.602900,2024-08-06 09:16:30.728120,2024-07-31 07:55:03.125220,True,webuycars
84,https://photos.webuycars.co.za/photobooth/05FE03622/Images/05FE036220.webp,,2004 Toyota  Corolla 140i GLS,toyota,corolla,,2004,43000,43000,347979,0 days 00:00:00,2024-08-14 08:43:06.391402,2024-08-14 08:43:06.391402,True,webuycars
85,https://photos.webuycars.co.za/photobooth/061302174/Images/0613021740.webp,,2012 BMW  3 Series 320i Luxury Line (F30),bmw,3 series,,2012,74000,99900,192000,25 days 18:23:46.804525,2024-08-08 08:17:56.015189,2024-07-13 13:54:09.210664,True,webuycars
86,https://photos.webuycars.co.za/photobooth/061F11429/Images/061F114290.webp,,2009 Toyota  Corolla 1.8 Exclusive,toyota,corolla,,2009,114000,121900,170000,7 days 01:53:16.190683,2024-08-11 09:55:58.740178,2024-08-04 08:02:42.549495,True,webuycars
87,https://photos.webuycars.co.za/photobooth/062109695/Images/0621096950.webp,,2023 BMW  3 Series 318i Sport Line Auto (G20),bmw,3 series,,2023,697000,697900,23059,3 days 01:12:27.676725,2024-07-28 09:05:23.532532,2024-07-25 07:52:55.855807,True,webuycars
88,https://photos.webuycars.co.za/photobooth/062B14689/Images/062B146890.webp,,2014 Mercedes-Benz  C Class C200 Avantgarde Auto,mercedes-benz,c class,,2014,146900,168900,170593,49 days 18:03:21.721879,2024-08-29 09:16:44.508859,2024-07-10 15:13:22.786980,True,webuycars
89,https://photos.webuycars.co.za/photobooth/063012327/Images/0630123270.webp,,2016 BMW  M2 Coupe M-Dct (F87),bmw,m2,,2016,572000,592900,68322,47 days 15:06:21.714420,2024-07-24 12:08:13.263359,2024-06-06 21:01:51.548939,True,webuycars
90,https://photos.webuycars.co.za/photobooth/064102270/Images/0641022700.webp,,2012 BMW  3 Series 320d Sport Line Auto (F30),bmw,3 series,,2012,108000,118900,163157,10 days 18:08:43.515469,2024-08-18 09:37:28.185443,2024-08-07 15:28:44.669974,True,webuycars
91,https://photos.webuycars.co.za/photobooth/065F04764/Images/065F047640.webp,,2014 Mercedes-Benz  C Class C250 Bluetec Avantgarde Auto,mercedes-benz,c class,,2014,247900,259900,153000,43 days 23:54:25.131048,2024-08-26 07:58:17.165598,2024-07-13 08:03:52.034550,True,webuycars
92,https://photos.webuycars.co.za/photobooth/066D00615/Images/066D006150.webp,,2021 BMW  3 Series 318i M Sport Auto (G20),bmw,3 series,,2021,471900,487900,51000,47 days 00:28:11.343975,2024-08-20 14:02:19.622615,2024-07-04 13:34:08.278640,True,webuycars
93,https://photos.webuycars.co.za/photobooth/068210729/Images/0682107290.webp,,2013 Audi  A3 1.8T FSI SE Stronic 3-Door,audi,a3,,2013,102000,102900,121160,22 days 22:23:12.387012,2024-08-26 07:51:07.225945,2024-08-03 09:27:54.838933,True,webuycars
94,https://photos.webuycars.co.za/photobooth/069804519/Images/0698045190.webp,,2018 Audi  S3 Stronic,audi,s3,,2018,377000,377900,145000,15 days 00:33:02.814165,2024-08-29 09:11:40.304315,2024-08-14 08:38:37.490150,True,webuycars
95,https://photos.webuycars.co.za/photobooth/06A000207/Images/06A0002070.webp,,2018 Audi  A3 Sportback 1.0 TFSI Stronic (30 TFSI),audi,a3,,2018,291000,291900,48500,9 days 06:31:33.846732,2024-08-12 15:59:28.685665,2024-08-03 09:27:54.838933,True,webuycars
96,https://photos.webuycars.co.za/photobooth/06B001645/Images/06B0016450.webp,,2009 Toyota  Prado VX 4.0 V6 Auto,toyota,land-cruiser-prado,4th gen,2009,167000,175900,220976,9 days 00:06:46.298313,2024-07-13 08:02:07.023634,2024-07-04 07:55:20.725321,True,webuycars
97,https://photos.webuycars.co.za/photobooth/06BB06781/Images/06BB067810.webp,,2013 BMW  1 Series 125i Coupe Sport Auto,bmw,1 series,,2013,124900,129900,210170,19 days 21:48:37.243352,2024-07-11 08:59:12.683236,2024-06-21 11:10:35.439884,True,webuycars
98,https://photos.webuycars.co.za/photobooth/06C006931/Images/06C0069310.webp,,2015 BMW  2 Series 220i Sport Line (F22),bmw,2 series,,2015,222900,222900,75000,0 days 00:30:39.068255,2024-06-21 11:41:15.750632,2024-06-21 11:10:36.682377,True,webuycars
